Team,WinPct,GP,W,L,OTL,GF,GA,Shots,oppSh,PM,oppPM,Offense,Defense,Discapline,TeamScore,CenScore,DefScore,GScore,WingScore,PlayerScore,yearID,SchedScore,FloStrength,last3games,last5games,last7games,last10games,PlayedYest,Conf,Div
ANA,0.488,40,17,18,5,101,120,1126,1275,335,320,-1.014,-0.984,1.4,0.368,-0.356,-0.158,0.844,-0.456,0.413,2025,0.391,0.39,0.593,0.647,0.62,0.574,1,West,Metropolitan
BOS,0.523,43,20,18,5,111,135,1198,1173,442,427,-1.074,0.221,1.145,0.455,-0.435,-0.346,-0.242,0.155,0.315,2025,0.363,0.372,0.296,0.304,0.321,0.443,1,East,Atlantic
BUF,0.427,41,15,21,5,124,139,1106,1193,402,350,-0.547,-0.868,0.306,0.393,-0.067,0.227,-0.362,0.018,0.405,2025,0.377,0.389,0.479,0.517,0.676,0.419,0,East,Atlantic
CAR,0.61,41,24,15,2,137,115,1308,1036,296,316,1.646,1.356,-1.172,0.717,0.394,0.26,-0.483,0.005,0.452,2025,0.665,0.636,0.354,0.452,0.504,0.434,1,East,Metro
CBJ,0.512,41,18,17,6,138,148,1236,1189,358,325,1.115,-1.158,0.296,0.502,0.02,0.448,-0.912,0.305,0.411,2025,0.456,0.474,0.556,0.469,0.556,0.556,1,East,Metro
CGY,0.562,40,19,14,7,105,121,1182,1169,412,413,-0.454,-0.276,1.024,0.462,-0.268,-0.232,0.23,0.044,0.399,2025,0.409,0.418,0.297,0.371,0.422,0.463,1,West,Metropolitan
CHI,0.35,40,13,25,2,101,137,1023,1207,340,293,-1.784,-1.222,-1,0.24,-0.123,-0.237,0.047,-0.275,0.352,2025,0.246,0.194,0.191,0.106,0.086,0.227,0,West,Central
COL,0.622,41,25,15,1,139,130,1211,1093,296,323,0.978,0.353,-0.366,0.599,0.533,0.549,1.085,1.175,0.867,2025,0.566,0.74,0.586,0.75,0.78,0.783,0,West,Central
DAL,0.654,39,25,13,1,127,99,1210,1021,266,330,1.263,1.545,-0.175,0.721,-0.026,0.287,0.613,0.669,0.631,2025,0.651,0.735,0.675,0.728,0.671,0.626,1,West,Central
DET,0.5,40,18,18,4,109,128,1018,1179,264,286,-1.488,-0.626,0.433,0.339,-0.266,-0.054,-0.054,0.108,0.394,2025,0.314,0.348,0.698,0.755,0.523,0.425,1,East,Atlantic
EDM,0.662,40,25,12,3,132,109,1279,1050,268,297,1.615,1.258,-0.137,0.727,0.697,0.49,0.176,-0.313,0.567,2025,0.653,0.721,0.761,0.695,0.678,0.679,1,West,Metropolitan
FLA,0.61,41,24,15,2,133,127,1250,1129,428,443,0.986,0.215,-0.641,0.583,0.387,0.232,0.03,-0.026,0.511,2025,0.608,0.558,0.424,0.363,0.351,0.533,0,East,Atlantic
LAK,0.671,38,23,10,5,118,95,1034,953,322,291,-0.212,1.894,0.339,0.641,-0.117,0.389,0.255,0.577,0.574,2025,0.644,0.667,0.765,0.692,0.697,0.7,0,West,Metropolitan
MIN,0.683,41,26,11,4,125,109,1163,1197,307,330,-0.054,0.346,1.192,0.547,-0.318,0.2,1.027,0.212,0.576,2025,0.638,0.598,0.877,0.758,0.74,0.528,1,West,Central
MTL,0.512,40,19,18,3,120,135,1014,1154,401,335,-0.983,-0.73,-0.715,0.349,-0.061,0.088,-0.816,0.232,0.356,2025,0.366,0.372,0.468,0.631,0.675,0.821,0,East,Atlantic
NJD,0.616,43,25,15,3,137,109,1296,1091,413,383,0.727,1.759,-1.619,0.667,0.351,0.196,0.544,0.257,0.606,2025,0.683,0.665,0.393,0.358,0.529,0.587,0,East,Metro
NSH,0.402,41,13,21,7,100,128,1193,1216,390,382,-0.904,-0.461,-0.374,0.383,0.047,-0.36,0.265,-0.696,0.332,2025,0.337,0.354,0.631,0.484,0.491,0.53,1,West,Central
NYI,0.462,40,15,18,7,106,127,1159,1149,221,239,-0.578,-0.395,3.401,0.49,-0.093,-0.036,0.075,0.043,0.428,2025,0.326,0.431,0.427,0.482,0.37,0.282,0,East,Metro
NYR,0.475,40,18,20,2,117,128,1200,1264,365,326,0.308,-1.274,0.026,0.423,-0.376,-0.055,0.16,0.275,0.43,2025,0.397,0.392,0.478,0.476,0.312,0.315,1,East,Metro
OTT,0.526,39,19,17,3,114,113,1159,1072,333,378,0.162,0.468,-0.191,0.547,-0.064,0.083,0.331,1.368,0.654,2025,0.51,0.563,0.223,0.344,0.347,0.45,1,East,Atlantic
PHI,0.476,41,17,19,5,122,145,1131,1099,357,341,-0.304,-0.352,0.589,0.459,0.287,0.132,-1.345,-0.108,0.294,2025,0.328,0.361,0.352,0.45,0.351,0.271,1,East,Metro
PIT,0.5,42,17,17,8,127,152,1196,1318,288,320,-0.021,-1.906,-0.784,0.33,-0.043,-0.135,-0.353,0.318,0.401,2025,0.322,0.323,0.41,0.406,0.419,0.43,1,East,Metro
SEA,0.451,41,17,21,3,117,128,1093,1166,255,319,-0.919,-0.185,0.156,0.415,0.199,0.062,0.048,-0.33,0.426,2025,0.401,0.385,0.388,0.539,0.401,0.223,0,West,Metropolitan
SJS,0.372,43,13,24,6,112,149,1163,1404,370,376,-1.154,-2.044,0.584,0.256,-0.101,-0.528,-0.573,-0.665,0.185,2025,0.268,0.18,0.564,0.374,0.308,0.265,1,West,Metropolitan
STL,0.5,42,19,19,4,117,129,1125,1192,320,301,-0.939,-0.034,1.088,0.444,0.147,0.023,0.04,-0.368,0.409,2025,0.434,0.434,0.534,0.521,0.616,0.516,1,West,Central
TBL,0.579,38,21,15,2,140,106,1081,1083,323,348,1.098,0.491,-1.163,0.604,0.286,0.542,0.702,1.329,0.804,2025,0.768,0.688,0.382,0.282,0.488,0.538,1,East,Atlantic
TOR,0.667,42,27,13,2,132,115,1190,1236,342,331,0.15,0.186,-0.457,0.518,0.519,-0.026,1.12,0.012,0.642,2025,0.602,0.591,0.662,0.704,0.648,0.575,1,East,Atlantic
UTA,0.526,39,17,15,7,113,116,1069,1124,416,388,-0.476,0.025,-0.024,0.463,0.127,0.132,0.243,-0.06,0.487,2025,0.494,0.447,0.496,0.344,0.311,0.382,0,West,Central
VAN,0.577,39,18,12,9,119,125,995,1085,369,353,-0.811,-0.105,-0.358,0.42,-0.136,-0.144,-0.261,0.48,0.421,2025,0.436,0.384,0.336,0.31,0.316,0.336,0,West,Metropolitan
VEG,0.738,40,28,9,3,142,106,1231,1105,219,221,1.638,0.901,-0.681,0.69,0.796,0.592,0.453,0.04,0.676,2025,0.751,0.754,0.733,0.71,0.725,0.841,1,West,Metropolitan
WPG,0.69,42,28,12,2,152,106,1185,1224,359,401,0.95,0.64,-1.149,0.604,0.239,0.705,1.306,1.076,0.865,2025,0.795,0.733,0.443,0.472,0.581,0.679,1,West,Central
WSH,0.7,40,26,10,4,148,106,1126,1104,346,337,1.078,0.96,-0.972,0.644,0.647,0.771,0.533,0.237,0.716,2025,0.802,0.701,0.528,0.508,0.485,0.573,0,East,Metro
