Team,Conf,Div
ANA,West,Metropolitan
ARI,West,Central
BOS,East,Atlantic
BUF,East,Atlantic
CAR,East,Metro
CBJ,East,Metro
CGY,West,Metropolitan
CHI,West,Central
COL,West,Central
DAL,West,Central
DET,East,Atlantic
EDM,West,Metropolitan
FLA,East,Atlantic
LAK,West,Metropolitan
MIN,West,Central
MTL,East,Atlantic
NJD,East,Metro
NSH,West,Central
NYI,East,Metro
NYR,East,Metro
OTT,East,Atlantic
PHI,East,Metro
PIT,East,Metro
SEA,West,Metropolitan
SJS,West,Metropolitan
STL,West,Central
TBL,East,Atlantic
TOR,East,Atlantic
VAN,West,Metropolitan
VEG,West,Metropolitan
WPG,West,Central
WSH,East,Metro
